RESOURCE_TYPES 0.TEX 1.FONT 2.SOUND 3.ANI,RESOURCE_PATH
0,graphics/tile.png
0,graphics/unit.png
0,graphics/dart_trap.png
0,graphics/spike_trap.png
0,graphics/ingame_ui.png
0,graphics/hp_ui.png
0,graphics/wave_meter.png
0,graphics/wave_number.png
0,graphics/trap_icon.png
0,graphics/dir_arrow.png
0,graphics/dart.png
0,graphics/dir_box.png
0,graphics/buildmenu_ring.png
0,graphics/sell.png
0,graphics/1x.png
0,graphics/2x.png
0,graphics/pause_back.png
0,graphics/bt_long.png
0,graphics/bt_longp.png
0,graphics/game_pause.png
0,graphics/blocked_one_trap.png
0,graphics/blocked_trap.png
